,Angle,Intensity,class,pos,sample,search
197,110.78183999999999,65.90738,Ag2Se,19681,7,max
198,117.83684,0.00059,Ag2Se,21092,7,min
199,125.49184,37.6471,Ag2Se,22623,7,max
200,135.01684,0.00164,Ag2Se,24528,7,min
201,143.74684,33.69277,Ag2Se,26274,7,max
202,153.69183999999998,0.00036,Ag2Se,28263,7,min
203,12.558819999999999,0.00033,Ag2Se,0,8,min
204,22.55382,1000.0,Ag2Se,1999,8,max
205,27.52382,0.00246,Ag2Se,2993,8,min
206,32.10882,569.75422,Ag2Se,3910,8,max
207,41.71382,0.00025,Ag2Se,5831,8,min
208,46.043820000000004,56.09027,Ag2Se,6697,8,max
209,48.12382,0.00185,Ag2Se,7113,8,min
210,51.85882,237.63105,Ag2Se,7860,8,max
211,60.75881999999999,0.00045,Ag2Se,9640,8,min
212,67.15881999999999,204.63653,Ag2Se,10920,8,max
213,69.53882,0.00643,Ag2Se,11396,8,min
214,71.83882,139.98136,Ag2Se,11856,8,max
215,73.89381999999999,0.007490000000000001,Ag2Se,12267,8,min
216,76.39882,207.49512,Ag2Se,12768,8,max
217,81.47381999999999,0.0011300000000000001,Ag2Se,13783,8,min
218,89.66882,145.10648999999998,Ag2Se,15422,8,max
219,95.92381999999999,0.00091,Ag2Se,16673,8,min
220,102.92882,117.11648000000001,Ag2Se,18074,8,max
221,105.37881999999999,0.00808,Ag2Se,18564,8,min
222,107.46882,57.80005,Ag2Se,18982,8,max
223,109.58882,0.00772,Ag2Se,19406,8,min
224,112.12382,86.49141999999999,Ag2Se,19913,8,max
225,117.50882,0.0006900000000000001,Ag2Se,20990,8,min
226,127.30882,37.070859999999996,Ag2Se,22950,8,max
227,137.08882,0.00045999999999999996,Ag2Se,24906,8,min
228,146.66881999999998,33.13953,Ag2Se,26822,8,max
229,156.62382,0.00042,Ag2Se,28813,8,min
230,12.56343,0.00033,Ag2Se,0,9,min
231,22.558429999999998,1000.0,Ag2Se,1999,9,max
232,27.51843,0.00246,Ag2Se,2991,9,min
233,32.11343,536.36306,Ag2Se,3910,9,max
234,41.72343,0.00025,Ag2Se,5832,9,min
235,46.05343,55.935140000000004,Ag2Se,6698,9,max
236,48.12843,0.00185,Ag2Se,7113,9,min
237,51.86843,231.70074,Ag2Se,7861,9,max
238,60.76843,0.00045,Ag2Se,9641,9,min
239,67.17343000000001,202.8284,Ag2Se,10922,9,max
240,69.58343,0.00642,Ag2Se,11404,9,min
