,Ag2Se,AgSe,Cu2Se,CuSe,Si,Ti,TiN
TiN.1,0.5680044442877284,0.4156707441538633,0.41165258340562727,0.4480930752323946,0.396929489330096,0.3830429850452068,0.396157224841368
TiN.2,0.5690092045652965,0.417081846669442,0.4114826553570858,0.44928190216733377,0.39812729891090565,0.38474632748485077,0.3965642971287561
TiN.3,0.568708149276942,0.41660025350010094,0.41154689768061214,0.44880721424451614,0.3977092220212443,0.38420235923508583,0.3964501105587311
TiN.4,0.5464581954686321,0.37797840053553966,0.37427398602520656,0.4015946792338088,0.3734415208484538,0.3624942005805686,0.37174174535117105
TiN.5,0.5259954924670049,0.36559045530857337,0.3774920360385661,0.3932366473024705,0.35727553215112073,0.3425745576650124,0.35624504678439417
TiN.6,0.5466020493357261,0.40338240923029245,0.4181890927185872,0.43977961723512277,0.37864275609373266,0.3592761249709223,0.3815152951254469
TiN.7,0.5464639125956477,0.4031699617155425,0.41794661205219513,0.43962343216818295,0.3784411073113994,0.35927460320946525,0.38141803749385794
TiN.8,0.45310725775375293,0.26724672368656555,0.25962730489797226,0.27993935658250746,0.2581361699290249,0.27451408810384004,0.2750040496953074
TiN.9,0.5465799851825148,0.40310209558487653,0.41782665828116455,0.4397051337520652,0.37845415663367915,0.35926953525294086,0.3815925978681594
TiN.10,0.540857189058801,0.3796940943403316,0.3753074255052756,0.4069985853676717,0.37273733745020265,0.36253392215761193,0.3679439842333166
TiN.11,0.5457359656917868,0.3778357578241616,0.37517915132508306,0.4012807567370637,0.3732800197844327,0.3618122229559616,0.3708868180703665
TiN.12,0.5488124551198618,0.41374955631283206,0.41527397688500206,0.4475181771549264,0.40090306246734597,0.3829835058849663,0.38877842185600947
TiN.13,0.5494479149910183,0.4147320411364095,0.41597358062031975,0.44838310742052717,0.4019781636578765,0.38376810890437396,0.38957031857982144
Ti,0.5152306241335403,0.3679397448158226,0.33839354909625047,0.3822297056305726,0.35839553283210407,0.3661115120914401,0.3511759808368602
Ti.1,0.5151530546612798,0.3678884503501869,0.33888217813064836,0.38192960815056076,0.3584998559075798,0.3658396219707127,0.35075280759540106
Ti.2,0.5689849785418624,0.43424680350903005,0.412808588850072,0.46107806555148584,0.41826182096413533,0.4059103816031989,0.40703340137793376
Ti.3,0.5063357313254876,0.3445584524250229,0.2904503894565441,0.34981466977195924,0.34386411875895534,0.3546988120433626,0.3491107448638493
Ti.4,0.5099467187075736,0.34982651081731997,0.29234634020154393,0.3555914927958515,0.3493284761590844,0.35878354230063025,0.3529583283401014
Ti.5,0.5700156487806972,0.43287289039940824,0.41278817027815573,0.4602327274077271,0.4163591080940588,0.4037057514851717,0.4030094900054482
Ti.6,0.5195274540554748,0.34311613092161136,0.28839598966283975,0.345774741810259,0.3471721917988603,0.3576844774601896,0.3596545738938692
Ti.7,0.521852829335805,0.34515203088151275,0.2867560394862429,0.34795361919100243,0.34921730912273424,0.35724211487159485,0.3576794995360158
Ti.8,0.5039393189991288,0.3393226631469447,0.2950177948894595,0.3411995709834678,0.34117693794546894,0.3501070036947582,0.35040875985734
Ti.9,0.5062848252913139,0.3416048195919648,0.2923408794052904,0.34336478924370956,0.34270549601083616,0.35073336807179745,0.3494615562841508
