2q (degree),Normalized Intensity (a.u)
14.7954,0.11168
14.8004,0.1086
14.8054,0.11798
14.8104,0.12921
14.8154,0.12004
14.8204,0.11265
14.8254,0.10527
14.8304,0.10352
14.8354,0.11453
14.8404,0.12179
14.8454,0.10692
14.8504,0.11521
14.8554,0.11664
14.8604,0.12495
14.8654,0.12215
14.8704,0.11496
14.8754,0.13106
14.8804,0.11268
14.8854,0.10735
14.8904,0.11801
14.8954,0.12348
14.9004,0.11293
14.9054,0.10851
14.9104,0.11832
14.9154,0.11632
14.9204,0.11732
14.9254,0.11119
14.9304,0.11297
14.9354,0.1198
14.9404,0.11404
14.9454,0.10709
14.9504,0.11156
14.9554,0.114
14.9604,0.1127
14.9654,0.11477
14.9704,0.11984
14.9754,0.11541
14.9804,0.11222
14.9854,0.1185
14.9904,0.12118
14.9954,0.11355
15.0004,0.11875
15.0054,0.11748
15.0104,0.1201
15.0154,0.1119
15.0204,0.12507
15.0254,0.12086
15.0304,0.11091
15.0354,0.12182
15.0404,0.11982
15.0454,0.11052
15.0504,0.11821
15.0554,0.10685
15.0604,0.10361
15.0654,0.11174
15.0704,0.12125
15.0754,0.1195
15.0804,0.10832
15.0854,0.10518
15.0904,0.11886
15.0954,0.12441
15.1004,0.10222
15.1054,0.10827
15.1104,0.11812
15.1154,0.11472
15.1204,0.1179
15.1254,0.09837
15.1304,0.10638
15.1354,0.11555
15.1404,0.10998
15.1454,0.11554
15.1504,0.10957
15.1554,0.11773
15.1604,0.11938
15.1654,0.11799
15.1704,0.12185
15.1754,0.11889
15.1804,0.11013
15.1854,0.10039
15.1904,0.1148
15.1954,0.10386
15.2004,0.10986
15.2054,0.1169
15.2104,0.12024
15.2154,0.11428
15.2204,0.11216
15.2254,0.10761
15.2304,0.10656
15.2354,0.12042
15.2404,0.11914
15.2454,0.11469
15.2504,0.12117
15.2554,0.1235
15.2604,0.11786
15.2654,0.12763
15.2704,0.13052
15.2754,0.12724
15.2804,0.1233
15.2854,0.10983
15.2904,0.11593
15.2954,0.10967
15.3004,0.11116
15.3054,0.12137
15.3104,0.11186
15.3154,0.11531
15.3204,0.12726
15.3254,0.10829
15.3304,0.10949
15.3354,0.118
15.3404,0.11497
15.3454,0.12118
15.3504,0.11229
15.3554,0.10816
15.3604,0.11295
15.3654,0.11604
15.3704,0.11605
15.3754,0.11572
15.3804,0.10776
15.3854,0.10952
15.3904,0.11244
15.3954,0.10325
15.4004,0.10405
15.4054,0.12106
15.4104,0.1187
15.4154,0.11746
15.4204,0.11641
15.4254,0.11423
15.4304,0.1112
15.4354,0.1107
15.4404,0.11515
15.4454,0.11512
15.4504,0.11993
15.4554,0.12935
15.4604,0.12002
15.4654,0.12402
15.4704,0.12555
15.4754,0.12125
15.4804,0.11173
15.4854,0.10262
15.4904,0.11361
15.4954,0.10705
15.5004,0.11519
15.5054,0.12193
15.5104,0.11703
15.5154,0.11548
15.5204,0.11079
15.5254,0.1097
15.5304,0.10728
15.5354,0.11793
15.5404,0.1167
15.5454,0.11223
15.5504,0.10847
15.5554,0.11512
15.5604,0.11238
15.5654,0.11207
15.5704,0.11876
15.5754,0.12245
15.5804,0.11164
15.5854,0.11031
15.5904,0.11611
15.5954,0.12163
15.6004,0.1023
15.6054,0.11703
15.6104,0.12472
15.6154,0.12059
15.6204,0.11782
15.6254,0.1138
15.6304,0.11126
15.6354,0.1092
15.6404,0.11233
15.6454,0.11215
15.6504,0.12016
15.6554,0.12143
15.6604,0.11633
15.6654,0.12006
15.6704,0.12107
15.6754,0.11277
15.6804,0.11321
15.6854,0.10703
15.6904,0.11871
15.6954,0.12052
15.7004,0.1119
15.7054,0.11279
15.7104,0.11756
15.7154,0.12619
15.7204,0.12235
15.7254,0.11938
15.7304,0.11178
15.7354,0.11948
15.7404,0.1249
15.7454,0.11312
15.7504,0.11566
15.7554,0.11586
15.7604,0.10624
15.7654,0.10989
15.7704,0.12042
15.7754,0.11596
15.7804,0.10838
15.7854,0.11055
15.7904,0.11821
15.7954,0.1116
15.8004,0.10244
15.8054,0.12437
15.8104,0.12252
15.8154,0.11508
15.8204,0.10575
15.8254,0.11368
15.8304,0.12188
15.8354,0.11835
15.8404,0.11916
15.8454,0.11221
15.8504,0.11366
15.8554,0.11752
15.8604,0.11668
15.8654,0.12193
15.8704,0.12154
15.8754,0.12
15.8804,0.11687
15.8854,0.11158
15.8904,0.10985
15.8954,0.1088
15.9004,0.10562
15.9054,0.10958
15.9104,0.11314
15.9154,0.11127
15.9204,0.11772
15.9254,0.11158
15.9304,0.11384
15.9354,0.12541
15.9404,0.11727
15.9454,0.11619
15.9504,0.11304
15.9554,0.11615
15.9604,0.11327
15.9654,0.11996
15.9704,0.11949
15.9754,0.10846
15.9804,0.12146
