2q (degree),Normalized Intensity (a.u)
15.7854,0.00935
15.7904,0.01073
15.7954,0.01067
15.8004,0.01091
15.8054,0.01198
15.8104,0.01055
15.8154,0.0079
15.8204,0.00816
15.8254,0.01
15.8304,0.00897
15.8354,0.00885
15.8404,0.00662
15.8454,0.00628
15.8504,0.00689
15.8554,0.00755
15.8604,0.00763
15.8654,0.00567
15.8704,0.00635
15.8754,0.01015
15.8804,0.00853
15.8854,0.01017
15.8904,0.01087
15.8954,0.01232
15.9004,0.01495
15.9054,0.01629
15.9104,0.01626
15.9154,0.0151
15.9204,0.01316
15.9254,0.01559
15.9304,0.01611
15.9354,0.01353
15.9404,0.01242
15.9454,0.01245
15.9504,0.01443
15.9554,0.01697
15.9604,0.01664
15.9654,0.01455
15.9704,0.01367
15.9754,0.01274
15.9804,0.01133
15.9854,0.01195
15.9904,0.01126
15.9954,0.01016
16.0004,0.0085
16.0054,0.00689
16.0104,0.00664
16.0154,0.00699
16.0204,0.0088
16.0254,0.01144
16.0304,0.00936
16.0354,0.00889
16.0404,0.00799
16.0454,0.00746
16.0504,0.00806
16.0554,0.00919
16.0604,0.00747
16.0654,0.00494
16.0704,0.0048
16.0754,0.00565
16.0804,0.00566
16.0854,0.00648
16.0904,0.00845
16.0954,0.00969
16.1004,0.0092
16.1054,0.00933
16.1104,0.00807
16.1154,0.01004
16.1204,0.00953
16.1254,0.00804
16.1304,0.00535
16.1354,0.0024
16.1404,0
16.1454,2.93E-04
16.1504,0.00251
16.1554,0.00666
16.1604,0.00436
16.1654,0.00456
16.1704,0.0059
16.1754,0.00867
16.1804,0.0107
16.1854,0.01186
16.1904,0.01117
16.1954,0.00885
16.2004,0.00563
16.2054,0.00535
16.2104,0.00483
16.2154,0.00458
16.2204,0.00284
16.2254,0.0022
16.2304,0.00271
16.2354,0.00459
16.2404,0.00648
16.2454,0.0077
16.2504,0.01131
16.2554,0.01242
16.2604,0.01043
16.2654,0.00976
16.2704,0.01016
16.2754,0.01195
16.2804,0.01129
16.2854,0.01186
16.2904,0.01182
16.2954,0.00974
16.3004,0.0087
16.3054,0.01133
16.3104,0.01146
16.3154,0.01087
16.3204,0.00864
16.3254,0.00865
16.3304,0.00606
16.3354,0.00437
16.3404,0.0037
16.3454,0.00341
16.3504,0.00211
16.3554,0.00256
16.3604,0.00252
16.3654,0.00216
16.3704,0.00199
16.3754,0.00366
16.3804,0.00587
16.3854,0.0067
16.3904,0.00776
16.3954,0.00943
16.4004,0.01094
16.4054,0.01021
16.4104,0.01277
16.4154,0.01296
16.4204,0.01155
16.4254,0.00969
16.4304,0.00776
16.4354,0.00624
16.4404,0.00432
16.4454,0.00371
16.4504,0.00474
16.4554,0.00396
16.4604,0.00235
16.4654,0.00399
16.4704,0.00627
16.4754,0.00831
16.4804,0.00869
16.4854,0.01036
16.4904,0.01027
16.4954,0.0098
16.5004,0.00996
16.5054,0.01229
16.5104,0.01156
16.5154,0.00968
16.5204,0.00759
16.5254,0.00729
16.5304,0.00448
16.5354,0.00444
16.5404,0.00477
16.5454,0.00506
16.5504,0.00381
16.5554,0.00428
16.5604,0.00519
16.5654,0.00469
16.5704,0.00637
16.5754,0.0084
16.5804,0.00657
16.5854,0.00587
16.5904,0.00448
16.5954,0.0055
16.6004,0.00541
16.6054,0.00465
16.6104,0.00461
16.6154,0.00526
16.6204,0.00677
16.6254,0.00829
16.6304,0.00677
16.6354,0.00621
16.6404,0.00537
16.6454,0.00681
16.6504,0.00677
16.6554,0.00802
16.6604,0.00499
16.6654,0.00214
16.6704,0.00295
16.6754,0.00457
16.6804,0.00589
16.6854,0.00588
16.6904,0.00279
16.6954,0.002
16.7004,0.00195
16.7054,0.00399
16.7104,0.00493
16.7154,0.00386
16.7204,0.00278
16.7254,0.00237
16.7304,0.00123
16.7354,0.00181
16.7404,0.00378
16.7454,0.00605
16.7504,0.0072
16.7554,0.0066
16.7604,0.00745
16.7654,0.00826
16.7704,0.0088
16.7754,0.00779
16.7804,0.00755
16.7854,0.00797
16.7904,0.00794
16.7954,0.00592
16.8004,0.00704
16.8054,0.00669
16.8104,0.00633
16.8154,0.00443
16.8204,0.00579
16.8254,0.00767
16.8304,0.00672
16.8354,0.00332
16.8404,0.00323
16.8454,0.00377
16.8504,0.00228
16.8554,0.00227
16.8604,0.00177
16.8654,0.00192
16.8704,9.87E-04
16.8754,8.49E-04
16.8804,0.00419
16.8854,0.00622
16.8904,0.00351
16.8954,0.00436
16.9004,0.00601
16.9054,0.00705
16.9104,0.00724
16.9154,0.00806
16.9204,0.00634
16.9254,0.00584
16.9304,0.00538
16.9354,0.00648
16.9404,0.00829
16.9454,0.00868
16.9504,0.01009
16.9554,0.00901
16.9604,0.00578
16.9654,0.00521
16.9704,0.00264
16.9754,0.00148
16.9804,0.00163
16.9854,0.00113
16.9904,1.87E-04
16.9954,0
17.0004,0.00247
17.0054,0.00452
17.0104,0.00535
17.0154,0.007
17.0204,0.00698
17.0254,0.00732
17.0304,0.00799
17.0354,0.01026
17.0404,0.01136
17.0454,0.01126
17.0504,0.01146
17.0554,0.01375
17.0604,0.01168
17.0654,0.01046
17.0704,0.01148
17.0754,0.00945
17.0804,0.00784
17.0854,0.00628
17.0904,0.0071
17.0954,0.00722
17.1004,0.0072
17.1054,0.0095
17.1104,0.01085
17.1154,0.00945
17.1204,0.00919
17.1254,0.00935
17.1304,0.00885
17.1354,0.00509
17.1404,0.005
17.1454,0.00546
17.1504,0.00655
17.1554,0.00834
17.1604,0.00747
17.1654,0.00637
17.1704,0.00726
17.1754,0.0086
17.1804,0.01069
17.1854,0.01158
17.1904,0.01024
17.1954,0.00729
17.2004,0.00661
17.2054,0.00969
17.2104,0.01065
17.2154,0.00829
17.2204,0.00704
17.2254,0.00665
17.2304,0.00578
17.2354,0.0046
17.2404,0.00687
17.2454,0.00663
17.2504,0.00433
17.2554,0.00578
17.2604,0.00397
17.2654,0.00282
17.2704,0.00358
17.2754,0.00372
17.2804,0.00258
17.2854,0.00223
17.2904,0.00132
17.2954,0.00202
17.3004,5.31E-04
17.3054,0.00268
17.3104,0.00485
17.3154,0.00353
17.3204,0.00213
17.3254,0.00446
17.3304,0.00403
17.3354,0.0041
17.3404,0.00446
17.3454,0.00593
17.3504,0.00567
17.3554,0.00511
17.3604,0.00514
17.3654,0.00583
17.3704,0.00633
17.3754,0.00571
17.3804,0.00622
17.3854,0.00863
17.3904,0.0088
17.3954,0.00794
17.4004,0.00598
17.4054,0.00577
17.4104,0.00434
17.4154,0.00409
17.4204,0.00422
17.4254,0.00325
17.4304,0.00109
17.4354,7.28E-04
17.4404,0.00222
17.4454,0.00498
17.4504,0.00695
17.4554,0.01119
17.4604,0.00984
17.4654,0.00971
17.4704,0.01165
17.4754,0.01153
17.4804,0.01137
17.4854,0.01174
17.4904,0.00967
17.4954,0.00957
17.5004,0.00868
17.5054,0.00908
17.5104,0.00812
17.5154,0.00686
17.5204,0.00775
17.5254,0.00788
17.5304,0.00521
17.5354,0.00535
17.5404,0.00509
17.5454,0.00414
17.5504,0.00565
17.5554,0.00823
17.5604,0.00757
17.5654,0.00583
17.5704,0.0055
17.5754,0.00737
17.5804,0.0075
17.5854,0.00854
17.5904,0.00973
17.5954,0.00934
17.6004,0.00935
17.6054,0.00923
17.6104,0.00953
17.6154,0.01033
17.6204,0.01094
17.6254,0.01093
17.6304,0.00761
17.6354,0.00497
17.6404,0.00461
17.6454,0.00338
17.6504,0.00414
17.6554,0.00538
17.6604,0.00311
17.6654,0.00313
17.6704,0.00518
17.6754,0.00777
17.6804,0.00661
17.6854,0.00649
17.6904,0.00684
17.6954,0.00759
17.7004,0.00787
17.7054,0.0083
17.7104,0.00725
17.7154,0.00648
17.7204,0.00616
17.7254,0.00785
17.7304,0.00771
17.7354,0.00835
17.7404,0.00782
17.7454,0.00678
17.7504,0.00723
17.7554,0.01018
17.7604,0.0098
17.7654,0.00806
17.7704,0.0086
17.7754,0.0088
17.7804,0.0089
17.7854,0.00921
17.7904,0.00929
17.7954,0.00919
17.8004,0.00802
17.8054,0.00731
17.8104,0.00631
17.8154,0.0055
17.8204,0.00496
17.8254,0.00562
17.8304,0.00654
17.8354,0.00731
17.8404,0.00861
17.8454,0.00709
17.8504,0.00721
17.8554,0.01083
17.8604,0.01039
17.8654,0.00976
17.8704,0.00903
17.8754,0.0073
17.8804,0.00409
17.8854,0.00223
17.8904,0.00232
17.8954,0.00376
17.9004,0.00302
17.9054,0.00318
17.9104,0.00159
17.9154,0
17.9204,9.16E-04
17.9254,0.00349
17.9304,0.00529
17.9354,0.00489
17.9404,0.00338
17.9454,0.00134
17.9504,0.00383
17.9554,0.00744
17.9604,0.00661
17.9654,0.00626
17.9704,0.00691
17.9754,0.00701
17.9804,0.00778
17.9854,0.00763
17.9904,0.00982
17.9954,0.00945
18.0004,0.0095
18.0054,0.01294
18.0104,0.0115
18.0154,0.01074
18.0204,0.01126
18.0254,0.01029
18.0304,0.01012
18.0354,0.00903
18.0404,0.00772
18.0454,0.00745
18.0504,0.00568
18.0554,0.00854
18.0604,0.00818
18.0654,0.00623
18.0704,0.00732
18.0754,0.00935
18.0804,0.00944
18.0854,0.00871
18.0904,0.00839
18.0954,0.00888
18.1004,0.00796
18.1054,0.00879
18.1104,0.0107
18.1154,0.01109
18.1204,0.01002
18.1254,0.00996
18.1304,0.00957
18.1354,0.0091
18.1404,0.00814
18.1454,0.00823
18.1504,0.00832
18.1554,0.00713
18.1604,0.00657
18.1654,0.00671
18.1704,0.00877
18.1754,0.0101
18.1804,0.01006
18.1854,0.01054
18.1904,0.01125
18.1954,0.01127
18.2004,0.01196
18.2054,0.01122
18.2104,0.01075
18.2154,0.0101
18.2204,0.01089
18.2254,0.01141
18.2304,0.01073
18.2354,0.01109
18.2404,0.01101
18.2454,0.01132
18.2504,0.01342
18.2554,0.01546
18.2604,0.01424
18.2654,0.01402
18.2704,0.01335
18.2754,0.0132
18.2804,0.0124
18.2854,0.01079
18.2904,0.01023
18.2954,0.00972
18.3004,0.00968
18.3054,0.01
18.3104,0.01048
18.3154,0.01086
18.3204,0.01126
18.3254,0.01029
18.3304,0.01321
18.3354,0.0128
18.3404,0.01112
18.3454,0.01052
18.3504,0.01091
18.3554,0.01077
18.3604,0.01022
18.3654,0.01115
18.3704,0.01107
18.3754,0.01021
18.3804,0.00961
18.3854,0.01251
18.3904,0.01214
18.3954,0.01318
18.4004,0.01355
18.4054,0.01372
18.4104,0.01311
18.4154,0.0129
18.4204,0.01169
18.4254,0.01161
18.4304,0.01028
18.4354,0.00937
18.4404,0.00794
18.4454,0.00816
18.4504,0.00951
18.4554,0.01117
18.4604,0.0103
18.4654,0.00935
18.4704,0.01041
18.4754,0.0092
18.4804,0.0101
18.4854,0.01042
18.4904,0.01064
18.4954,0.01059
18.5004,0.00844
18.5054,0.00763
18.5104,0.00715
18.5154,0.00521
18.5204,0.00581
18.5254,0.00472
18.5304,0.00375
18.5354,0.00295
18.5404,0.00217
18.5454,0.00214
18.5504,0.00503
18.5554,0.00783
18.5604,0.00825
18.5654,0.0082
18.5704,0.00922
18.5754,0.01181
18.5804,0.01065
18.5854,0.00962
18.5904,0.0114
18.5954,0.01177
18.6004,0.01279
18.6054,0.01483
18.6104,0.01451
18.6154,0.01404
18.6204,0.01321
18.6254,0.01469
18.6304,0.01599
18.6354,0.01638
18.6404,0.01475
18.6454,0.01323
18.6504,0.01263
18.6554,0.01433
18.6604,0.01429
18.6654,0.01328
18.6704,0.0118
18.6754,0.01214
18.6804,0.01117
18.6854,0.01299
18.6904,0.01388
18.6954,0.01401
18.7004,0.01252
18.7054,0.01177
18.7104,0.01
18.7154,0.01095
18.7204,0.00976
18.7254,0.00839
18.7304,0.00657
18.7354,0.00582
18.7404,0.00764
18.7454,0.00674
18.7504,0.00783
18.7554,0.00888
18.7604,0.00514
18.7654,0.00404
18.7704,0.00585
18.7754,0.00568
18.7804,0.00277
18.7854,6.17E-04
18.7904,0.00186
18.7954,8.29E-04
18.8004,0.00119
18.8054,0.00376
18.8104,0.00317
18.8154,7.46E-04
18.8204,3.56E-04
18.8254,0.00131
18.8304,9.12E-04
18.8354,0
18.8404,4.33E-04
18.8454,4.85E-04
18.8504,0.00123
18.8554,0.00339
18.8604,0.00472
18.8654,0.00495
18.8704,0.00698
18.8754,0.00777
18.8804,0.00914
18.8854,0.01004
18.8904,0.0087
18.8954,0.00808
18.9004,0.00786
18.9054,0.00719
18.9104,0.00742
18.9154,0.00782
18.9204,0.00843
18.9254,0.0088
18.9304,0.00917
18.9354,0.0106
18.9404,0.01076
18.9454,0.01119
18.9504,0.01234
18.9554,0.01273
18.9604,0.00953
18.9654,0.00747
18.9704,0.00751
18.9754,0.0066
18.9804,0.00493
18.9854,0.00351
18.9904,0.00284
18.9954,0.00362
19.0004,0.00456
19.0054,0.00535
19.0104,0.00603
19.0154,0.00547
19.0204,0.00527
19.0254,0.00788
19.0304,0.01016
19.0354,0.00969
19.0404,0.00979
19.0454,0.00989
19.0504,0.01213
19.0554,0.01227
19.0604,0.01058
19.0654,0.00968
19.0704,0.00756
19.0754,0.00635
19.0804,0.00691
19.0854,0.00553
19.0904,0.00309
19.0954,0.00231
19.1004,0.00292
19.1054,0.0036
19.1104,0.00309
19.1154,0.00455
19.1204,0.00465
19.1254,0.00559
19.1304,0.00579
19.1354,0.00794
19.1404,0.00731
19.1454,0.00556
19.1504,0.0059
19.1554,0.00789
19.1604,0.0064
19.1654,0.00572
19.1704,0.00532
19.1754,0.00562
19.1804,0.00396
19.1854,0.00363
19.1904,0.00423
19.1954,0.00431
19.2004,0.00578
19.2054,0.00795
19.2104,0.00771
19.2154,0.00778
19.2204,0.00812
19.2254,0.00892
19.2304,0.00848
19.2354,0.0083
19.2404,0.00638
19.2454,0.00401
19.2504,0.00308
19.2554,0.00324
19.2604,0.00119
19.2654,3.03E-04
19.2704,0.00134
19.2754,0.00145
19.2804,0.00265
19.2854,0.00573
19.2904,0.00461
19.2954,0.00342
19.3004,0.00445
19.3054,0.00583
19.3104,0.00554
19.3154,0.00609
19.3204,0.00874
19.3254,0.00953
19.3304,0.00813
19.3354,0.00899
19.3404,0.00965
19.3454,0.00981
19.3504,0.00988
19.3554,0.01071
19.3604,0.0085
19.3654,0.00603
19.3704,0.00632
19.3754,0.00571
19.3804,0.00535
19.3854,0.00643
19.3904,0.00923
19.3954,0.01222
19.4004,0.01311
19.4054,0.01479
19.4104,0.01516
19.4154,0.01412
19.4204,0.0154
19.4254,0.01716
19.4304,0.01692
19.4354,0.01571
19.4404,0.0132
19.4454,0.01138
19.4504,0.01276
19.4554,0.01302
19.4604,0.01096
19.4654,0.01133
19.4704,0.01157
19.4754,0.01124
19.4804,0.0093
19.4854,0.00781
19.4904,0.00643
19.4954,0.00248
19.5004,0.00285
19.5054,0.00525
19.5104,0.00309
19.5154,0.00147
19.5204,0.00109
19.5254,0.00324
19.5304,0.00523
19.5354,0.0068
19.5404,0.00809
19.5454,0.00811
19.5504,0.00766
19.5554,0.00892
19.5604,0.00808
19.5654,0.00516
19.5704,0.00383
19.5754,0.00466
19.5804,0.00537
19.5854,0.0062
19.5904,0.00599
19.5954,0.00546
19.6004,0.00658
19.6054,0.00617
19.6104,0.00945
19.6154,0.00954
19.6204,0.0074
19.6254,0.00632
19.6304,0.00579
19.6354,0.00524
19.6404,0.00533
19.6454,0.00452
19.6504,0.00611
19.6554,0.00501
19.6604,0.00463
