XRD - Maiz-30,
13.87,91
13.89,107
13.91,85
13.93,101
13.95,94
13.97,100
13.99,101
14.01,106
14.03,116
14.05,113
14.07,111
14.09,117
14.11,116
14.13,99
14.15,114
14.17,118
14.19,106
14.21,99
14.23,118
14.25,130
14.27,132
14.29,116
14.31,128
14.33,117
14.35,123
14.37,127
14.39,109
14.41,107
14.43,122
14.45,126
14.47,119
14.49,135
14.51,135
14.53,144
14.55,134
14.57,137
14.59,111
14.61,156
14.63,138
14.65,143
14.67,140
14.69,150
14.71,147
14.73,142
14.75,146
14.77,147
14.79,158
14.81,155
14.83,163
14.85,202
14.87,177
14.89,151
14.91,160
14.93,160
14.95,176
14.97,175
14.99,185
15.01,182
15.03,184
15.05,167
15.07,199
15.09,166
15.11,175
15.13,168
15.15,158
15.17,179
15.19,148
15.21,162
15.23,144
15.25,160
15.27,136
15.29,175
15.31,155
15.33,167
15.35,171
15.37,139
15.39,149
15.41,173
15.43,160
15.45,140
15.47,148
15.49,153
15.51,126
15.53,160
15.55,123
15.57,144
15.59,141
15.61,133
15.63,121
15.65,123
15.67,131
15.69,146
15.71,121
15.73,107
15.75,123
15.77,116
15.79,121
15.81,129
15.83,115
15.85,124
15.87,108
15.89,103
15.91,116
15.93,126
15.95,134
15.97,130
15.99,120
16.01,120
16.03,100
16.05,111
16.07,132
16.09,123
16.11,119
16.13,123
16.15,109
16.17,111
16.19,127
16.21,137
16.23,137
16.25,116
16.27,131
16.29,132
16.31,128
16.33,125
16.35,137
16.37,127
16.39,127
16.41,150
16.43,127
16.45,141
16.47,158
16.49,139
16.51,142
16.53,142
16.55,129
16.57,132
16.59,149
16.61,163
16.63,151
16.65,141
16.67,148
16.69,158
16.71,130
16.73,154
16.75,164
16.77,160
16.79,171
16.81,177
16.83,180
16.85,170
16.87,149
16.89,152
16.91,188
16.93,154
16.95,166
16.97,194
16.99,184
17.01,173
17.03,165
17.05,191
17.07,166
17.09,166
17.11,200
17.13,185
17.15,166
17.17,196
17.19,176
17.21,164
17.23,179
17.25,189
17.27,164
17.29,168
17.31,190
17.33,190
17.35,155
17.37,171
17.39,152
17.41,185
17.43,179
17.45,187
17.47,164
17.49,184
17.51,169
17.53,174
17.55,151
17.57,147
17.59,180
17.61,145
17.63,168
17.65,156
17.67,182
17.69,182
17.71,147
17.73,161
17.75,179
17.77,157
17.79,192
17.81,180
17.83,189
17.85,175
17.87,169
17.89,183
17.91,202
17.93,170
17.95,168
17.97,189
17.99,172
18.01,157
18.03,163
18.05,181
18.07,165
18.09,185
18.11,166
18.13,175
18.15,173
18.17,178
18.19,173
18.21,168
18.23,180
18.25,169
18.27,157
18.29,153
18.31,146
18.33,164
18.35,155
18.37,133
18.39,150
18.41,147
18.43,142
18.45,138
18.47,131
18.49,145
18.51,135
18.53,136
18.55,119
18.57,123
18.59,135
18.61,109
18.63,153
18.65,128
18.67,121
18.69,106
18.71,105
18.73,134
18.75,111
18.77,124
18.79,111
18.81,122
18.83,115
18.85,125
18.87,120
18.89,113
18.91,115
18.93,117
18.95,101
18.97,115
18.99,98
19.01,108
19.03,108
19.05,96
19.07,90
19.09,101
19.11,118
19.13,124
19.15,87
19.17,111
19.19,103
19.21,125
19.23,110
19.25,104
19.27,104
19.29,127
19.31,124
19.33,113
19.35,104
19.37,108
19.39,93
19.41,85
19.43,108
19.45,126
19.47,90
19.49,111
19.51,110
19.53,116
19.55,119
19.57,97
19.59,117
19.61,118
19.63,77
19.65,102
19.67,126
19.69,119
19.71,124
19.73,103
19.75,115
19.77,93
19.79,95
19.81,103
19.83,95
19.85,104
19.87,110
19.89,98
19.91,123
19.93,102
19.95,107
19.97,96
19.99,109
20.01,123
20.03,100
20.05,116
20.07,85
20.09,119
20.11,88
20.13,109
20.15,88
20.17,114
20.19,106
20.21,99
20.23,111
20.25,102
20.27,109
20.29,99
20.31,116
20.33,116
20.35,108
20.37,102
20.39,93
20.41,105
20.43,101
20.45,94
20.47,104
20.49,109
20.51,100
20.53,128
20.55,99
20.57,89
20.59,93
20.61,91
20.63,95
20.65,96
20.67,80
20.69,65
20.71,88
20.73,91
20.75,94
20.77,103
20.79,84
20.81,80
20.83,93
20.85,101
20.87,106
20.89,98
20.91,89
20.93,89
20.95,83
20.97,94
20.99,83
21.01,94
21.03,99
21.05,80
21.07,63
21.09,84
21.11,96
21.13,91
21.15,86
21.17,95
21.19,98
21.21,77
21.23,87
21.25,78
21.27,103
21.29,104
21.31,76
21.33,75
21.35,83
21.37,97
21.39,74
21.41,79
21.43,79
21.45,98
21.47,75
21.49,91
21.51,84
21.53,84
21.55,85
21.57,94
21.59,86
21.61,71
21.63,81
21.65,91
21.67,82
21.69,70
21.71,74
21.73,98
21.75,89
21.77,80
21.79,96
21.81,80
21.83,87
21.85,96
21.87,82
21.89,92
21.91,100
21.93,85
21.95,108
21.97,107
21.99,96
22.01,90
22.03,95
22.05,82
22.07,80
22.09,83
22.11,82
22.13,107
22.15,96
22.17,74
22.19,93
22.21,83
22.23,92
22.25,106
22.27,97
22.29,100
22.31,98
22.33,95
22.35,107
22.37,105
22.39,95
22.41,113
22.43,92
22.45,100
22.47,104
22.49,97
22.51,119
22.53,115
22.55,93
22.57,105
22.59,100
22.61,119
22.63,126
22.65,98
22.67,110
22.69,107
22.71,96
22.73,136
22.75,123
22.77,128
22.79,114
22.81,125
22.83,121
22.85,124
22.87,131
22.89,120
22.91,126
22.93,117
22.95,137
22.97,110
22.99,124
23.01,124
23.03,140
23.05,120
23.07,106
23.09,116
23.11,107
23.13,131
23.15,128
23.17,119
23.19,129
23.21,113
23.23,116
23.25,120
23.27,137
23.29,122
23.31,116
23.33,128
23.35,123
23.37,105
23.39,117
23.41,110
23.43,110
23.45,117
23.47,103
23.49,126
23.51,129
23.53,119
23.55,103
23.57,98
23.59,104
23.61,109
23.63,115
23.65,97
23.67,94
23.69,104
23.71,117
23.73,113
23.75,97
23.77,93
23.79,91
23.81,108
23.83,89
23.85,96
23.87,97
23.89,103
23.91,101
23.93,96
23.95,107
23.97,84
23.99,109
24.01,86
24.03,95
24.05,94
24.07,67
24.09,107
24.11,98
24.13,90
24.15,84
24.17,100
24.19,87
24.21,82
24.23,93
24.25,105
24.27,72
24.29,90
24.31,80
24.33,82
24.35,85
24.37,75
24.39,65
24.41,74
24.43,85
24.45,70
24.47,76
24.49,89
24.51,95
24.53,71
24.55,73
24.57,83
24.59,73
24.61,74
24.63,84
24.65,76
24.67,74
24.69,57
24.71,66
24.73,93
24.75,66
24.77,63
24.79,62
24.81,74
24.83,77
24.85,83
24.87,66
24.89,64
24.91,76
24.93,68
24.95,56
24.97,71
24.99,57
25.01,53
25.03,73
25.05,68
25.07,54
25.09,54
25.11,56
25.13,60
25.15,55
25.17,63
25.19,63
25.21,61
25.23,58
25.25,75
25.27,65
25.29,61
25.31,62
25.33,55
25.35,59
25.37,57
25.39,62
25.41,65
25.43,47
25.45,55
25.47,62
25.49,72
25.51,58
25.53,63
25.55,57
25.57,54
25.59,51
25.61,65
25.63,55
25.65,61
25.67,49
25.69,68
25.71,64
25.73,56
25.75,54
25.77,53
25.79,57
25.81,62
25.83,54
25.85,58
25.87,74
25.89,55
25.91,52
25.93,49
25.95,55
25.97,61
25.99,65
26.01,60
26.03,55
26.05,58
26.07,57
26.09,65
26.11,83
26.13,56
26.15,52
26.17,69
26.19,50
26.21,52
26.23,62
26.25,48
26.27,58
26.29,57
26.31,64
26.33,61
26.35,55
26.37,65
26.39,59
26.41,47
26.43,63
26.45,63
26.47,47
26.49,58
26.51,55
26.53,62
26.55,65
26.57,65
26.59,68
26.61,50
26.63,63
26.65,52
26.67,65
26.69,71
26.71,47
26.73,65
26.75,39
26.77,59
26.79,57
26.81,61
26.83,54
26.85,83
26.87,52
26.89,41
26.91,47
26.93,59
26.95,65
26.97,71
26.99,46
27.01,48
27.03,59
27.05,57
27.07,49
27.09,48
27.11,43
27.13,49
27.15,52
27.17,56
27.19,43
27.21,43
27.23,50
27.25,53
27.27,42
27.29,46
27.31,53
27.33,54
27.35,51
27.37,51
27.39,60
27.41,56
27.43,43
27.45,58
27.47,50
27.49,41
27.51,57
27.53,55
27.55,46
27.57,43
27.59,46
27.61,47
27.63,53
27.65,46
27.67,43
27.69,32
27.71,57
27.73,45
27.75,47
27.77,60
27.79,39
27.81,46
27.83,57
27.85,38
27.87,42
27.89,53
27.91,41
27.93,51
27.95,56
27.97,59
27.99,49
28.01,49
28.03,55
28.05,50
28.07,43
28.09,49
28.11,40
28.13,50
28.15,34
28.17,47
28.19,47
28.21,48
28.23,43
28.25,47
28.27,39
28.29,55
28.31,56
28.33,40
28.35,51
28.37,42
28.39,54
28.41,50
28.43,59
28.45,36
28.47,51
28.49,48
28.51,45
28.53,60
28.55,50
28.57,47
28.59,46
28.61,44
28.63,52
28.65,42
28.67,36
28.69,49
28.71,41
28.73,39
28.75,46
28.77,45
28.79,53
28.81,46
28.83,63
28.85,49
28.87,51
28.89,50
28.91,55
28.93,54
28.95,47
28.97,47
28.99,65
29.01,44
29.03,49
29.05,44
29.07,43
29.09,57
29.11,50
29.13,55
29.15,40
29.17,46
29.19,47
29.21,44
29.23,50
29.25,44
29.27,55
29.29,53
29.31,66
29.33,39
29.35,38
29.37,45
29.39,49
29.41,54
29.43,46
29.45,45
29.47,46
29.49,41
29.51,46
29.53,41
29.55,44
29.57,54
29.59,49
29.61,55
29.63,44
29.65,36
29.67,41
29.69,55
29.71,55
29.73,54
29.75,54
29.77,55
29.79,42
29.81,42
29.83,48
29.85,59
29.87,60
29.89,42
29.91,53
29.93,44
29.95,53
29.97,48
29.99,55
30.01,57
30.03,46
30.05,44
30.07,60
30.09,36
30.11,53
30.13,50
30.15,55
30.17,46
30.19,40
30.21,64
30.23,48
30.25,59
30.27,48
30.29,48
30.31,56
30.33,49
30.35,46
30.37,54
30.39,57
30.41,49
30.43,50
30.45,51
30.47,62
30.49,52
30.51,51
30.53,59
30.55,58
30.57,60
30.59,54
30.61,46
30.63,50
30.65,55
30.67,56
30.69,45
30.71,58
30.73,52
30.75,56
30.77,47
30.79,44
30.81,51
30.83,48
30.85,53
30.87,49
30.89,57
30.91,52
30.93,49
30.95,54
30.97,47
30.99,48
31.01,52
31.03,45
31.05,51
31.07,59
31.09,59
31.11,46
31.13,45
31.15,63
31.17,42
31.19,52
31.21,38
31.23,58
31.25,45
31.27,51
31.29,46
31.31,46
31.33,56
31.35,44
31.37,44
31.39,46
31.41,57
31.43,40
31.45,67
31.47,44
31.49,42
31.51,45
31.53,49
31.55,56
31.57,47
31.59,61
31.61,37
31.63,57
31.65,49
31.67,42
31.69,47
31.71,39
31.73,47
31.75,43
31.77,51
31.79,56
31.81,37
31.83,39
31.85,49
31.87,41
31.89,47
31.91,52
31.93,37
31.95,45
31.97,37
31.99,51
32.01,42
32.03,43
32.05,50
32.07,55
32.09,50
32.11,48
32.13,43
32.15,42
32.17,46
32.19,41
32.21,57
32.23,41
32.25,37
32.27,44
32.29,47
32.31,45
32.33,40
32.35,51
32.37,55
32.39,51
32.41,45
32.43,41
32.45,52
32.47,58
32.49,44
32.51,44
32.53,45
32.55,48
32.57,53
32.59,45
32.61,39
32.63,56
32.65,49
32.67,53
32.69,46
32.71,47
32.73,55
32.75,40
32.77,42
32.79,55
32.81,49
32.83,50
32.85,47
32.87,45
32.89,57
32.91,57
32.93,42
32.95,45
32.97,49
32.99,40
33.01,49
33.03,49
33.05,40
33.07,47
33.09,51
33.11,42
33.13,52
33.15,48
33.17,47
33.19,43
33.21,46
33.23,40
33.25,53
33.27,52
33.29,50
33.31,48
33.33,46
33.35,46
33.37,44
33.39,42
33.41,48
33.43,52
33.45,58
33.47,48
33.49,43
33.51,57
33.53,46
33.55,33
33.57,43
33.59,58
33.61,53
33.63,54
33.65,49
33.67,38
33.69,47
33.71,50
33.73,40
33.75,41
33.77,52
33.79,47
33.81,52
33.83,40
33.85,53
33.87,53
33.89,42
33.91,49
33.93,56
33.95,40
33.97,37
33.99,44
34.01,46
34.03,45
34.05,53
34.07,44
34.09,52
34.11,42
34.13,54
34.15,49
34.17,43
34.19,52
34.21,41
34.23,50
34.25,54
34.27,36
34.29,30
34.31,46
34.33,59
34.35,43
34.37,53
34.39,59
34.41,46
34.43,48
34.45,44
34.47,45
34.49,53
34.51,49
34.53,39
34.55,46
34.57,47
34.59,49
34.61,40
34.63,37
34.65,44
34.67,31
34.69,43
34.71,38
34.73,42
34.75,52
34.77,35
34.79,51
34.81,34
34.83,53
34.85,44
34.87,42
34.89,50
34.91,41
34.93,49
34.95,37
34.97,42
34.99,40
35.01,33
35.03,36
35.05,37
35.07,43
35.09,40
35.11,47
35.13,42
35.15,51
35.17,41
35.19,41
35.21,34
35.23,56
35.25,37
35.27,41
35.29,35
35.31,44
35.33,41
35.35,45
35.37,36
35.39,45
35.41,37
35.43,57
35.45,41
35.47,36
35.49,38
35.51,41
35.53,42
35.55,28
35.57,43
35.59,56
35.61,40
35.63,31
35.65,45
35.67,43
35.69,39
35.71,42
35.73,39
35.75,35
35.77,31
35.79,42
35.81,52
35.83,47
35.85,41
35.87,46
35.89,39
35.91,41
35.93,51
35.95,32
35.97,45
35.99,43
36.01,42
36.03,32
36.05,34
36.07,48
36.09,35
36.11,47
36.13,33
36.15,32
36.17,42
36.19,34
36.21,50
36.23,44
36.25,38
36.27,38
36.29,33
36.31,41
36.33,38
36.35,32
36.37,40
36.39,35
36.41,46
36.43,37
36.45,43
36.47,41
36.49,36
36.51,45
36.53,43
36.55,43
36.57,27
36.59,41
36.61,42
36.63,43
36.65,45
36.67,40
36.69,47
36.71,28
36.73,36
36.75,42
36.77,45
36.79,35
36.81,32
36.83,39
36.85,31
36.87,39
36.89,30
36.91,44
36.93,34
36.95,38
36.97,37
36.99,41
37.01,46
37.03,34
37.05,32
37.07,27
37.09,32
37.11,38
37.13,34
37.15,37
37.17,43
37.19,21
37.21,39
37.23,38
37.25,41
37.27,32
37.29,38
37.31,45
37.33,39
37.35,35
37.37,43
37.39,40
37.41,36
37.43,40
37.45,37
37.47,49
37.49,36
37.51,38
37.53,36
37.55,43
37.57,43
37.59,32
37.61,41
37.63,45
37.65,33
37.67,46
37.69,41
37.71,44
37.73,34
37.75,47
37.77,30
37.79,38
37.81,47
37.83,34
37.85,33
37.87,34
37.89,34
37.91,38
37.93,40
37.95,44
37.97,42
37.99,38
38.01,40
38.03,43
38.05,37
38.07,31
38.09,38
38.11,31
38.13,48
38.15,38
38.17,42
38.19,42
38.21,31
38.23,23
38.25,28
38.27,38
38.29,34
38.31,46
38.33,36
38.35,30
38.37,39
38.39,37
38.41,46
38.43,42
38.45,28
38.47,36
38.49,48
38.51,33
38.53,35
38.55,27
38.57,40
38.59,42
38.61,41
38.63,29
38.65,44
38.67,30
38.69,45
38.71,31
38.73,39
38.75,38
38.77,33
38.79,34
38.81,36
38.83,40
38.85,44
38.87,36
38.89,28
38.91,42
38.93,38
38.95,41
38.97,31
38.99,46
39.01,36
39.03,30
39.05,38
39.07,33
39.09,28
39.11,30
39.13,43
39.15,34
39.17,36
39.19,37
39.21,38
39.23,29
39.25,32
39.27,29
39.29,33
39.31,33
39.33,28
39.35,22
39.37,34
39.39,29
39.41,33
39.43,34
39.45,32
39.47,35
39.49,33
39.51,39
39.53,29
39.55,35
39.57,32
39.59,27
39.61,54
39.63,32
39.65,38
39.67,27
39.69,36
39.71,29
39.73,34
39.75,36
39.77,20
39.79,31
39.81,37
39.83,34
39.85,30
39.87,41
39.89,28
39.91,36
39.93,26
39.95,29
39.97,16
39.99,37
